Marital_Status,Kidhome,Teenhome,Education_Level,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,MntTotal,AcceptedCmpOverall,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Age,Complain,Customer_Days,MntRegularProds,NumCatalogPurchases,NumDealsPurchases,NumStorePurchases,NumWebPurchases,NumWebVisitsMonth,Response,Z_CostContact,Z_Revenue
Single,0,0,Graduation,63181,50,118,10,63,18,18,15,242,0,1,0,0,0,0,36.0,0,580,227,1,6,2,5,5,0,3,11
Single,0,0,Graduation,62370,19,127,9,59,20,18,9,242,1,0,0,0,0,0,29.0,0,865,233,4,4,0,3,4,0,3,11
Married,0,2,Master,77860,38,0,20,66,75,43,0,204,1,0,0,0,0,0,31.0,0,1714,204,8,2,2,0,5,1,3,11
Together,2,0,2n Cycle,63466,38,0,33,0,19,58,0,110,1,0,0,0,0,0,47.0,0,4002,110,5,1,3,1,4,0,3,11
Together,1,2,Basic,37960,27,0,15,15,45,35,0,110,0,0,0,1,0,0,32.0,0,3040,110,1,9,0,0,14,0,3,11
Married,0,0,Master,72808,35,141,15,75,29,20,11,291,0,1,0,0,0,0,31.0,0,296,280,4,2,0,0,5,0,3,11
Single,0,0,Basic,46137,26,95,15,47,16,14,7,194,1,0,0,0,0,0,26.0,0,1859,187,2,1,0,2,3,0,3,11
Single,0,0,Graduation,69837,35,118,11,84,17,19,8,257,0,1,0,1,0,0,51.0,0,1396,249,2,1,3,3,6,0,3,11
Single,0,0,Graduation,77144,30,153,19,80,17,22,14,305,0,0,0,0,0,0,42.0,0,2622,291,6,1,3,1,4,0,3,11
Single,0,0,Master,68018,28,135,13,79,25,22,8,282,0,0,0,0,0,0,32.0,0,2329,274,4,1,1,2,5,1,3,11
Married,0,2,Master,91014,12,0,19,84,100,64,0,267,1,0,0,0,1,0,33.0,0,552,267,4,4,4,3,5,0,3,11
Married,1,1,Master,81345,51,0,35,42,50,50,0,177,1,0,0,0,0,0,39.0,0,487,177,4,2,4,1,6,0,3,11
Single,1,0,Graduation,61940,50,64,23,23,26,38,8,182,1,1,0,0,0,0,40.0,0,901,174,5,1,0,4,5,0,3,11
Single,0,0,Master,81766,78,184,8,91,34,17,15,349,0,0,0,0,0,0,48.0,0,1326,334,4,3,3,0,2,0,3,11
Together,0,2,Graduation,44286,39,0,12,45,42,33,0,132,0,0,0,0,0,0,45.0,1,865,132,4,3,6,0,7,0,3,11
Married,0,2,Graduation,79632,42,0,19,76,79,70,0,244,1,0,0,1,0,0,21.0,1,2815,244,6,3,1,1,4,0,3,11
Single,0,0,Graduation,52715,43,98,16,48,17,17,18,214,1,1,0,0,0,0,47.0,0,724,196,2,2,2,2,4,0,3,11
Together,0,1,Master,88579,58,87,17,93,68,45,9,319,1,0,1,0,1,0,44.0,0,1513,310,5,0,4,4,5,0,3,11
Widow,0,0,2n Cycle,63131,42,122,11,51,22,12,14,232,0,0,0,0,0,0,57.0,0,1170,218,2,5,2,1,10,0,3,11
Single,0,0,2n Cycle,53342,59,80,5,54,15,15,16,185,0,0,0,0,0,0,59.0,0,2854,169,5,2,3,4,12,0,3,11
Single,0,0,Master,46528,48,83,9,33,13,12,9,159,0,0,0,0,0,0,21.0,0,2843,150,3,6,1,2,5,0,3,11
Married,2,2,Master,85509,49,0,58,0,91,113,0,262,1,0,0,1,0,0,53.0,0,3638,262,5,5,4,5,10,1,3,11
Together,0,2,Graduation,59735,26,0,15,62,55,52,0,184,1,0,0,0,0,0,28.0,0,1712,184,0,4,0,0,3,1,3,11
Together,1,2,Graduation,57942,46,0,18,25,58,67,0,168,0,0,0,1,0,0,42.0,0,1275,168,1,7,2,0,10,0,3,11
Single,0,0,Master,70410,41,129,15,72,18,19,16,269,1,1,0,0,0,0,51.0,0,799,253,4,2,5,2,10,0,3,11
Single,0,0,Master,44950,32,77,4,51,20,11,7,170,1,0,1,0,0,0,30.0,0,1128,163,0,4,1,2,4,0,3,11
Married,0,2,Graduation,62601,32,0,8,61,71,43,0,183,1,0,1,0,0,0,41.0,0,2966,183,5,4,2,4,8,0,3,11
Married,0,0,Graduation,70205,9,138,7,55,27,9,11,247,1,1,0,0,0,0,45.0,0,1254,236,4,6,4,3,5,0,3,11
Single,0,0,Graduation,84970,55,186,17,82,21,18,18,342,1,0,0,0,1,0,33.0,0,4591,324,6,3,2,3,9,0,3,11
Together,0,0,Graduation,68750,53,141,14,80,21,15,18,289,0,0,0,0,0,1,46.0,1,903,271,0,2,1,2,1,0,3,11
Married,0,2,Graduation,78940,60,0,10,89,71,58,0,228,1,0,0,0,0,0,52.0,0,3055,228,6,4,6,4,10,0,3,11
Together,0,2,Graduation,66929,18,0,18,65,62,42,0,187,0,0,0,0,0,0,38.0,0,2016,187,1,4,2,3,8,0,3,11
Together,0,1,Graduation,117146,22,121,30,123,77,66,15,432,1,0,0,0,0,0,43.0,0,655,417,5,2,3,8,5,0,3,11
Married,0,2,Graduation,86482,12,0,22,92,92,66,0,272,1,0,0,0,0,1,44.0,0,1785,272,2,1,3,5,8,0,3,11
Married,0,2,Master,49503,40,0,9,60,60,45,0,174,1,0,1,0,0,0,38.0,0,4119,174,2,4,2,0,11,0,3,11
Married,2,2,2n Cycle,71334,16,0,25,0,64,82,0,171,1,0,0,0,0,0,29.0,0,1372,171,3,4,2,2,3,0,3,11
Single,1,0,Graduation,79354,24,78,31,48,25,35,5,222,1,0,0,0,0,0,32.0,1,3622,217,6,6,1,3,4,0,3,11
Married,0,1,Master,58237,45,50,12,53,38,31,3,187,0,0,0,0,0,0,50.0,0,2988,184,1,1,5,2,4,0,3,11
Single,0,0,Graduation,64574,60,115,15,58,22,13,12,235,1,1,0,1,1,0,34.0,0,4246,223,2,2,0,2,5,0,3,11
Married,1,2,Graduation,64929,30,0,31,49,76,63,0,219,0,0,0,0,0,0,39.0,0,4911,219,5,5,0,1,10,0,3,11
Single,0,0,Graduation,50180,37,102,16,50,17,11,14,210,0,0,0,0,0,1,51.0,0,4384,196,1,4,3,3,2,0,3,11
Single,1,0,Master,90039,53,75,37,43,31,45,11,242,1,0,0,0,1,0,36.0,0,4578,231,5,3,0,2,12,0,3,11
Single,0,0,PhD,70053,39,142,20,76,21,18,11,288,1,0,0,0,0,0,34.0,0,4843,277,4,4,1,2,2,0,3,11
Single,0,0,Graduation,53191,40,97,18,55,19,16,8,213,1,0,0,0,0,0,34.0,0,2568,205,6,2,0,5,6,0,3,11
Married,1,2,Master,66480,36,0,26,27,65,68,0,186,1,1,0,0,0,0,27.0,0,1768,186,3,6,1,2,7,0,3,11
Married,0,2,Basic,43676,25,0,5,31,38,27,0,101,1,0,0,0,0,0,45.0,0,941,101,1,4,4,1,11,0,3,11
Married,2,0,Master,71802,48,0,55,0,22,51,0,128,1,0,0,0,0,0,27.0,0,3188,128,3,0,0,1,2,0,3,11
Single,0,0,PhD,71060,29,135,9,65,29,20,19,277,1,0,1,0,0,0,42.0,0,3456,258,3,2,3,3,3,0,3,11
Single,0,0,Graduation,45182,36,101,6,42,19,7,9,184,0,0,1,1,0,0,47.0,0,3052,175,3,7,2,1,5,0,3,11
Single,1,0,Master,69589,20,68,22,34,17,24,6,171,1,0,0,0,0,0,41.0,0,1834,165,0,2,1,1,8,0,3,11
Single,0,0,Graduation,25053,60,56,4,27,8,7,6,108,0,0,0,0,0,0,37.0,0,3012,102,0,3,3,2,3,0,3,11
Together,0,1,Graduation,67523,58,79,17,66,50,43,4,259,0,0,0,0,0,0,29.0,0,4040,255,5,1,1,5,6,0,3,11
Single,0,0,Master,84644,39,171,16,85,36,20,19,347,1,0,1,0,0,1,50.0,0,1785,328,4,3,0,6,6,0,3,11
Single,0,0,Graduation,55038,51,105,8,65,11,12,11,212,1,0,0,0,0,0,52.0,0,3863,201,2,1,2,1,5,0,3,11
Single,0,0,Graduation,68311,48,124,9,73,27,21,12,266,1,0,0,0,1,0,45.0,0,3731,254,2,2,5,0,2,1,3,11
Single,1,0,Master,66212,42,56,22,37,16,25,4,160,1,0,0,0,1,0,47.0,0,304,156,2,1,3,0,6,1,3,11
Married,2,0,Master,115278,11,0,63,0,43,87,0,193,1,0,1,0,0,0,37.0,1,1726,193,4,2,3,5,9,1,3,11
Married,2,2,Master,94598,10,0,64,0,90,132,0,286,1,0,0,0,0,0,44.0,0,3009,286,9,2,1,0,9,1,3,11
Single,0,0,Graduation,50003,56,100,16,51,20,20,8,215,0,0,0,0,0,0,36.0,0,1326,207,3,2,3,6,9,0,3,11
Single,0,0,Graduation,82373,60,173,18,81,26,24,21,343,1,0,1,0,0,0,33.0,0,822,322,7,1,2,3,2,0,3,11
Single,0,0,PhD,116167,52,211,21,114,41,34,16,437,1,0,0,0,0,0,32.0,0,148,421,4,5,2,5,3,0,3,11
Single,0,0,Graduation,59752,44,133,16,62,15,15,10,251,1,0,0,0,0,0,44.0,0,2109,241,0,2,2,2,3,0,3,11
Single,0,0,PhD,87302,53,192,11,86,30,23,19,361,1,0,0,0,0,1,19.0,0,1427,342,4,5,0,1,7,0,3,11
Widow,0,0,Master,100193,16,192,20,96,35,20,25,388,1,0,0,0,0,0,39.0,0,4891,363,3,5,3,4,1,0,3,11
Married,1,1,Master,63208,3,0,23,33,37,38,0,131,1,1,0,0,1,0,49.0,0,1273,131,7,4,2,7,5,0,3,11
Married,1,2,Graduation,45487,9,0,24,20,39,36,0,119,1,0,0,0,0,0,50.0,0,3451,119,0,2,2,1,6,0,3,11
Married,0,2,Graduation,75393,74,0,12,85,80,69,0,246,0,1,0,0,0,0,41.0,0,1981,246,2,3,1,8,8,0,3,11
Married,0,1,Graduation,60666,70,70,15,76,42,30,3,236,0,0,0,0,0,0,21.0,1,3902,233,6,6,0,2,5,0,3,11
Married,1,0,Graduation,69726,14,68,23,35,18,44,9,197,1,0,1,0,0,1,27.0,0,2932,188,3,4,0,2,4,0,3,11
Married,2,1,Master,95372,22,0,67,0,61,94,0,222,1,1,0,0,0,1,34.0,0,4736,222,3,4,1,5,4,1,3,11
Married,0,2,Master,88475,24,0,19,81,95,82,0,277,1,0,0,0,0,0,42.0,0,3687,277,8,4,1,5,8,1,3,11
Single,0,0,Graduation,71372,62,148,15,74,25,12,10,284,0,0,0,0,0,0,21.0,0,3959,274,3,4,1,0,1,0,3,11
Married,1,1,Master,78070,42,0,30,32,63,55,0,180,1,0,0,0,0,0,47.0,0,4455,180,3,4,3,2,5,0,3,11
Married,2,0,Graduation,63333,28,0,54,0,24,59,0,137,1,0,0,0,0,0,42.0,0,1890,137,4,3,4,1,7,0,3,11
Together,0,1,Graduation,55368,47,54,16,54,37,31,9,201,0,0,0,0,0,0,28.0,0,763,192,3,4,1,2,6,0,3,11
Married,0,2,Graduation,99156,41,0,19,95,97,67,0,278,1,0,0,0,0,0,24.0,0,1248,278,4,5,2,2,5,0,3,11
Married,0,0,Master,113841,10,228,21,115,39,31,28,462,1,0,0,0,0,1,51.0,0,2682,434,12,2,2,1,8,0,3,11
Single,0,0,Graduation,79182,50,167,16,85,28,16,14,326,0,0,0,1,0,0,44.0,0,1445,312,3,1,2,3,7,0,3,11
Married,1,2,Graduation,68787,27,0,26,43,73,66,0,208,0,0,0,1,0,0,33.0,0,1952,208,4,2,1,1,10,1,3,11
Single,0,0,Graduation,46307,28,112,8,48,24,8,9,209,0,0,0,0,0,1,38.0,0,1140,200,1,5,0,5,1,0,3,11
Single,0,0,Graduation,103817,30,201,13,125,41,22,23,425,1,0,0,0,0,0,44.0,0,1459,402,9,3,2,3,5,1,3,11
Single,0,0,Graduation,69797,47,129,21,63,18,12,14,257,1,0,0,0,0,0,37.0,0,502,243,5,5,4,3,7,0,3,11
Married,1,0,2n Cycle,74477,39,84,32,46,22,30,8,222,0,0,0,0,0,0,42.0,0,4501,214,4,4,1,2,5,0,3,11
Single,0,0,Master,61034,41,105,8,65,15,10,20,223,1,1,1,0,0,0,47.0,0,3578,203,5,1,0,2,10,0,3,11
Single,0,0,Graduation,73322,38,147,13,71,30,12,9,282,1,0,0,0,0,0,29.0,0,1353,273,4,5,1,2,7,0,3,11
Together,2,1,Graduation,62883,29,0,31,0,37,63,0,131,1,0,0,0,0,0,41.0,0,4441,131,5,1,2,2,5,0,3,11
Single,0,0,2n Cycle,42168,21,89,4,46,15,17,6,177,1,0,0,0,0,0,52.0,0,1742,171,2,4,4,1,7,0,3,11
Married,1,2,PhD,84921,52,0,29,36,91,75,0,231,1,0,0,0,0,0,43.0,0,4836,231,5,2,2,3,5,1,3,11
Married,0,1,Graduation,79044,31,68,21,78,62,38,6,273,1,1,0,0,1,0,32.0,0,2195,267,2,3,3,2,7,0,3,11
Single,0,0,Master,92999,48,165,14,94,31,23,22,349,1,0,0,0,0,0,46.0,0,1808,327,2,4,3,7,4,0,3,11
Married,0,0,Master,56378,68,108,11,41,18,13,10,201,0,0,0,0,0,0,27.0,0,1775,191,3,4,4,3,3,0,3,11
Single,0,0,Master,51417,61,100,10,51,11,7,4,183,1,0,0,0,0,0,48.0,0,629,179,4,2,1,4,4,0,3,11
Married,2,0,Master,73601,37,0,42,0,35,70,0,147,0,0,0,0,0,0,30.0,0,884,147,5,3,0,6,11,0,3,11
Married,2,1,2n Cycle,53960,27,0,29,0,40,54,0,123,0,0,0,0,1,0,46.0,0,4018,123,6,4,1,3,6,0,3,11
Married,0,1,Master,80037,36,100,20,85,64,41,12,322,1,0,0,0,0,0,51.0,0,4659,310,6,3,2,2,4,0,3,11
Married,0,2,Graduation,65623,9,0,7,43,78,51,0,179,1,0,0,0,0,0,41.0,0,4769,179,4,7,1,4,7,0,3,11
Single,0,0,Master,71870,24,151,11,73,30,18,14,297,0,0,0,0,0,0,30.0,0,2370,283,3,3,2,1,6,1,3,11
Single,0,0,PhD,82512,45,184,16,93,17,20,18,348,1,0,0,0,0,0,41.0,0,4498,330,2,4,3,1,5,0,3,11
Married,0,2,PhD,69691,27,0,11,65,58,46,0,180,1,0,0,0,1,0,42.0,0,1274,180,6,5,2,4,2,0,3,11
Married,2,2,2n Cycle,64867,1,0,45,0,69,92,0,206,0,0,0,0,0,0,43.0,0,1118,206,8,2,3,0,5,0,3,11
Together,2,0,Graduation,54019,38,0,24,0,20,45,0,89,0,1,0,0,0,0,51.0,0,1599,89,5,8,2,0,4,0,3,11
Together,2,1,Graduation,83072,38,0,52,0,46,97,0,195,1,0,0,1,0,0,47.0,0,772,195,8,5,3,1,6,0,3,11
Together,0,2,2n Cycle,50805,52,0,10,59,43,32,0,144,0,0,0,0,0,0,24.0,0,2718,144,3,6,3,1,6,0,3,11
Married,2,2,2n Cycle,60574,31,0,37,0,61,84,0,182,1,0,0,0,0,0,38.0,0,412,182,3,1,2,2,8,0,3,11
Single,0,0,Graduation,49383,35,95,6,44,18,9,7,179,1,0,0,0,0,0,53.0,0,517,172,3,2,4,2,5,0,3,11
Married,0,1,PhD,89552,46,87,21,72,63,40,12,295,1,0,0,0,0,0,64.0,0,1769,283,2,0,4,3,3,0,3,11
Married,2,0,Graduation,70717,37,0,42,0,21,47,0,110,1,0,0,0,1,0,52.0,0,2634,110,2,5,4,4,6,0,3,11
Single,0,0,Graduation,85227,27,175,17,92,27,29,9,349,1,1,0,0,0,0,41.0,0,1615,340,2,5,1,3,7,0,3,11
Together,0,2,Graduation,65545,19,0,16,65,70,46,0,197,1,0,0,0,1,0,40.0,0,2630,197,1,3,2,2,2,0,3,11
Together,2,1,Master,93180,38,0,54,0,61,100,0,215,1,0,1,0,0,0,47.0,0,2851,215,9,4,2,3,8,0,3,11
Married,0,2,PhD,113074,33,0,16,106,126,77,0,325,1,0,0,0,0,0,32.0,0,530,325,2,2,2,4,9,0,3,11
Single,0,0,Graduation,57694,48,138,5,69,14,18,13,257,1,0,0,0,0,0,52.0,0,2022,244,2,6,4,1,5,0,3,11
Single,0,0,2n Cycle,55374,45,117,14,36,23,18,12,220,0,0,0,0,0,0,46.0,0,717,208,1,6,2,1,5,0,3,11
Together,1,0,Graduation,57393,48,66,24,34,15,29,5,173,1,0,0,0,0,1,18.0,0,4825,168,3,3,1,2,4,0,3,11
Together,2,0,PhD,64584,25,0,41,0,17,65,0,123,0,0,0,0,0,0,33.0,0,4941,123,4,6,1,3,7,0,3,11
Single,1,0,Graduation,98378,33,94,33,57,36,53,8,281,1,0,0,0,0,0,44.0,0,4933,273,4,3,1,7,6,0,3,11
Single,0,0,Graduation,54472,55,111,10,46,18,10,11,206,1,0,1,0,0,0,50.0,0,4003,195,2,7,7,2,8,0,3,11
Together,1,0,2n Cycle,47474,40,44,13,21,17,23,9,127,0,0,0,0,0,0,43.0,0,2636,118,1,5,4,2,8,0,3,11
Single,0,0,2n Cycle,42087,34,74,17,36,14,10,9,160,0,0,0,0,0,0,48.0,0,4646,151,1,3,2,2,4,0,3,11
Married,0,2,Master,70619,22,0,9,57,60,49,0,175,0,0,0,0,0,0,47.0,0,817,175,3,1,4,1,6,0,3,11
Widow,0,0,Graduation,73445,43,131,11,69,22,24,16,273,1,0,0,0,1,0,57.0,0,4067,257,6,3,5,5,6,1,3,11
Single,0,0,Graduation,81639,3,158,11,81,29,15,24,318,1,0,0,0,0,0,48.0,0,758,294,4,5,1,3,4,1,3,11
Married,0,2,Graduation,100190,56,0,27,97,108,79,0,311,1,0,0,0,0,0,39.0,0,638,311,4,1,4,6,6,0,3,11
Single,0,0,PhD,48778,42,118,11,45,9,19,10,212,1,0,0,0,0,1,31.0,0,4497,202,5,4,1,4,4,0,3,11
Single,0,0,2n Cycle,81814,49,181,21,84,29,16,14,345,1,0,0,0,0,0,27.0,0,282,331,5,2,1,1,7,0,3,11
Together,0,1,Master,98164,44,108,20,98,78,41,8,353,0,0,0,0,0,1,43.0,0,2478,345,5,2,2,6,4,0,3,11
Married,0,1,Graduation,63701,42,50,11,58,44,21,7,191,1,0,1,0,0,0,41.0,0,4153,184,6,3,0,1,4,0,3,11
Widow,0,0,Master,71335,22,150,16,72,24,13,17,292,1,0,0,0,1,0,45.0,0,2743,275,5,1,2,2,5,0,3,11
Married,0,2,PhD,97828,14,0,21,103,87,76,0,287,1,1,0,0,1,0,50.0,1,1393,287,4,1,3,2,14,0,3,11
Single,1,0,Graduation,53427,17,70,24,22,15,25,5,161,1,0,0,0,0,0,47.0,0,4846,156,1,2,3,3,4,0,3,11
Single,0,0,2n Cycle,80468,58,156,15,76,37,21,5,310,1,0,0,0,0,0,37.0,0,4952,305,7,3,1,4,4,0,3,11
Single,0,0,2n Cycle,65362,20,138,6,78,19,17,12,270,1,0,0,0,0,0,48.0,0,3183,258,0,2,3,5,4,0,3,11
Single,0,0,Master,58684,34,110,6,43,13,15,13,200,1,0,0,0,0,0,29.0,0,1463,187,6,4,0,2,6,0,3,11
Single,0,0,2n Cycle,62385,63,130,12,52,17,17,20,248,0,0,1,0,0,0,47.0,1,2437,228,5,3,0,2,10,0,3,11
Single,0,0,Graduation,64054,26,122,12,63,21,11,25,254,1,0,1,0,0,0,47.0,0,602,229,4,5,5,5,3,0,3,11
Married,1,2,Graduation,44195,32,0,17,20,49,54,0,140,1,0,0,0,0,0,54.0,0,3149,140,3,6,0,1,6,0,3,11
Married,1,2,Graduation,58194,40,0,22,24,55,49,0,150,1,1,0,0,0,0,50.0,0,4137,150,2,5,2,1,5,0,3,11
Married,0,0,2n Cycle,58133,43,116,18,47,19,15,12,227,0,0,0,0,0,0,33.0,0,4782,215,2,3,2,3,3,0,3,11
Married,1,0,Master,85692,38,90,35,46,22,36,11,240,1,0,0,0,0,1,36.0,0,1070,229,4,2,1,5,3,0,3,11
Single,0,0,Master,78495,50,152,13,84,23,22,21,315,1,0,0,0,0,0,32.0,0,3798,294,3,4,0,4,3,0,3,11
Single,0,0,Graduation,81098,68,155,18,74,21,20,18,306,1,0,0,0,0,0,49.0,0,3743,288,5,2,2,5,4,0,3,11
Married,2,0,Graduation,62429,19,0,45,0,30,41,0,116,1,0,0,0,0,0,20.0,0,1849,116,2,3,2,1,7,0,3,11
Married,1,1,Graduation,50768,28,0,16,30,31,37,0,114,0,0,0,0,0,0,49.0,0,1195,114,1,3,1,3,6,0,3,11
Single,0,0,Master,57294,53,112,10,61,27,14,10,234,1,0,0,1,0,0,41.0,0,2546,224,0,1,3,4,4,0,3,11
Together,0,1,Graduation,55409,36,65,7,50,31,31,5,189,0,0,0,1,0,0,42.0,0,382,184,3,6,2,2,5,0,3,11
Married,0,1,Graduation,60973,30,50,6,44,39,28,6,173,1,0,0,0,0,0,45.0,0,3026,167,3,3,3,4,7,0,3,11
Married,0,1,Graduation,72676,53,74,11,76,50,29,6,246,1,0,0,0,0,0,40.0,0,2593,240,4,3,3,2,5,1,3,11
Single,0,0,Master,80473,8,166,14,80,41,28,13,342,1,0,0,0,0,0,45.0,0,3012,329,4,0,4,2,7,0,3,11
Married,2,1,Graduation,66822,45,0,49,0,47,77,0,173,1,0,0,0,0,0,50.0,0,3253,173,0,2,0,1,15,0,3,11
Married,0,1,Graduation,80516,60,89,11,74,70,37,9,290,1,0,1,1,1,0,22.0,0,4316,281,4,2,1,1,5,0,3,11
Married,2,0,Graduation,87550,28,0,57,0,22,69,0,148,1,0,0,0,0,1,60.0,1,2131,148,6,2,1,1,9,0,3,11
Married,1,1,Graduation,72841,12,0,29,40,56,50,0,175,1,0,1,0,0,0,44.0,0,2273,175,8,0,2,3,9,0,3,11
Together,0,2,Graduation,48938,37,0,7,31,55,27,0,120,0,0,0,0,0,0,49.0,0,1789,120,3,2,4,2,5,0,3,11
Married,0,0,Graduation,68813,50,147,19,77,18,11,15,287,1,0,1,0,0,0,57.0,0,3247,272,3,4,1,4,2,0,3,11
Single,0,0,Graduation,78306,17,159,16,70,23,26,18,312,1,0,0,0,0,0,26.0,0,263,294,6,1,2,0,4,0,3,11
Married,1,2,Master,89453,27,0,29,38,95,80,0,242,1,0,0,0,0,0,35.0,0,2201,242,5,2,1,3,11,0,3,11
Married,1,2,2n Cycle,51990,59,0,17,26,56,53,0,152,0,0,0,1,0,0,59.0,1,4231,152,1,5,7,1,2,0,3,11
Married,2,0,Graduation,90661,49,0,57,0,25,68,0,150,1,0,0,0,0,0,52.0,0,1463,150,6,4,2,0,5,0,3,11
Single,0,0,Graduation,58040,52,114,14,58,21,17,9,233,0,0,0,0,0,0,23.0,0,1451,224,4,5,0,1,7,0,3,11
Single,0,0,Graduation,46909,51,95,14,51,14,14,7,195,1,0,1,0,0,0,28.0,0,3463,188,7,5,1,1,6,0,3,11
Together,0,1,Graduation,65521,39,66,10,55,37,38,16,222,1,0,0,0,0,0,42.0,0,870,206,6,4,1,0,12,0,3,11
Married,0,2,Master,57125,36,0,9,57,53,37,0,156,1,0,0,1,0,0,35.0,0,1386,156,7,2,6,2,9,0,3,11
Together,1,2,Graduation,75753,25,0,25,41,76,81,0,223,1,0,0,0,0,0,27.0,0,4731,223,4,7,3,4,2,0,3,11
Married,0,2,Master,97169,33,0,23,92,105,78,0,298,1,0,0,0,0,0,48.0,0,4327,298,4,2,1,4,5,0,3,11
Married,0,2,Master,64980,9,0,13,63,72,48,0,196,1,0,0,0,0,0,52.0,0,1135,196,3,1,3,3,4,0,3,11
Married,1,2,Master,77474,0,0,22,39,76,84,0,221,1,1,0,1,1,0,38.0,0,878,221,3,3,0,4,9,1,3,11
Together,2,2,Master,86074,10,0,38,0,89,100,0,227,1,0,0,0,0,0,31.0,0,166,227,6,4,0,6,3,0,3,11
Married,0,1,Graduation,53037,55,61,7,43,33,19,6,169,1,0,0,0,0,0,56.0,0,2243,163,3,4,4,5,9,0,3,11
Married,1,1,Graduation,54679,43,0,20,24,38,48,0,130,1,0,0,0,0,0,35.0,0,950,130,2,5,0,4,7,0,3,11
Single,0,0,PhD,76444,55,156,28,86,21,24,16,331,1,0,0,0,0,0,44.0,0,676,315,7,4,1,2,6,1,3,11
Married,1,1,Graduation,68816,34,0,32,36,43,63,0,174,0,0,0,0,0,0,25.0,0,1657,174,4,6,1,3,3,0,3,11
Married,0,2,Graduation,73732,50,0,8,74,75,60,0,217,1,0,0,0,0,0,51.0,0,1679,217,3,6,2,3,4,0,3,11
Single,0,0,Graduation,61423,63,125,13,53,19,13,12,235,1,0,0,0,0,0,43.0,0,3406,223,5,1,3,3,3,0,3,11
Single,0,0,Graduation,43053,63,67,7,42,17,10,9,152,1,0,0,0,0,0,31.0,0,4529,143,2,6,4,1,6,0,3,11
Single,0,0,Graduation,38774,35,86,5,36,9,9,3,148,1,0,0,0,0,0,50.0,0,1486,145,2,1,3,1,4,1,3,11
Single,0,0,PhD,60228,44,121,15,67,19,13,15,250,1,1,0,0,1,0,55.0,0,2930,235,1,2,4,5,8,0,3,11
Single,1,0,Graduation,70543,30,63,34,38,31,43,7,216,0,0,0,0,0,1,46.0,0,533,209,1,5,2,4,6,0,3,11
Married,1,1,Master,94266,52,0,30,51,55,77,0,213,1,0,0,0,0,0,45.0,0,2150,213,7,3,2,3,11,0,3,11
Together,2,2,Graduation,64665,40,0,43,0,68,68,0,179,1,0,0,0,0,0,29.0,0,408,179,2,4,0,4,13,0,3,11
Married,2,2,Graduation,83658,28,0,60,0,93,101,0,254,1,0,0,1,0,0,36.0,0,4263,254,3,2,4,5,10,0,3,11
Single,0,0,2n Cycle,48877,55,108,11,45,16,12,13,205,1,0,0,0,0,0,22.0,0,2477,192,2,7,1,3,6,0,3,11
Single,0,0,Graduation,57493,48,127,12,57,23,12,20,251,0,0,0,0,0,0,56.0,0,3684,231,3,3,2,1,6,0,3,11
Married,0,0,Graduation,86862,27,151,20,88,35,23,15,332,1,0,0,0,0,0,24.0,0,2463,317,6,5,2,1,1,0,3,11
Single,0,0,PhD,86978,57,161,20,98,29,26,12,346,1,0,0,0,0,0,30.0,0,2901,334,1,3,3,1,3,0,3,11
Together,2,2,Graduation,68648,53,0,45,0,65,97,0,207,0,0,0,0,0,0,18.0,0,363,207,5,4,2,1,8,0,3,11
Married,0,0,Graduation,70788,50,141,18,71,26,19,12,287,1,0,0,0,0,0,50.0,0,347,275,4,2,1,3,8,0,3,11
Married,0,1,Graduation,55626,37,54,9,65,37,25,6,196,1,0,0,0,0,0,50.0,0,2217,190,3,4,2,1,4,0,3,11
Single,0,0,Basic,51282,33,78,13,46,16,12,10,175,1,1,0,0,0,0,33.0,0,348,165,3,6,0,4,3,0,3,11
Married,1,0,Graduation,77649,33,68,30,43,21,36,8,206,1,0,0,0,0,1,47.0,0,3938,198,3,4,2,4,9,0,3,11
Single,1,0,2n Cycle,91121,16,89,46,38,34,51,16,274,1,0,0,0,0,0,28.0,0,398,258,7,2,3,5,6,0,3,11
Together,0,2,Master,71815,19,0,12,64,82,71,0,229,1,0,0,1,0,0,37.0,0,4311,229,4,2,5,4,4,0,3,11
Married,1,0,Master,74455,35,84,33,37,29,49,8,240,1,0,0,0,0,0,37.0,0,3930,232,3,4,0,8,4,1,3,11
Single,0,0,Graduation,67227,48,129,18,51,21,21,9,249,1,0,0,0,0,0,25.0,0,4147,240,2,7,1,2,7,0,3,11
Single,0,0,Graduation,84724,19,153,19,87,21,25,19,324,1,0,1,0,0,0,51.0,0,4722,305,1,4,1,3,7,0,3,11
Single,0,0,2n Cycle,63281,46,127,10,55,22,17,14,245,0,0,0,0,0,0,43.0,0,2983,231,2,4,0,3,9,0,3,11
Married,1,0,Master,77314,61,62,37,42,24,38,10,213,0,0,0,0,0,0,22.0,0,3463,203,3,8,0,7,12,0,3,11
Single,0,0,Master,58224,50,114,9,60,30,15,16,244,0,0,0,0,0,0,29.0,0,3843,228,5,5,1,0,6,0,3,11
Married,2,0,Master,67512,40,0,40,0,27,33,0,100,1,0,1,1,0,0,36.0,0,1642,100,3,3,0,0,7,0,3,11
